checkpoint,dataset,pair_index,gold,response_tokens_opd,response_tokens_frozen_self,response_tokens_opd_minus_frozen_self,eos_opd,eos_frozen_self,eos_opd_minus_frozen_self,truncated_opd,truncated_frozen_self,truncated_opd_minus_frozen_self,fourgram_repetition_opd,fourgram_repetition_frozen_self,fourgram_repetition_opd_minus_frozen_self,distinct_2_opd,distinct_2_frozen_self,distinct_2_opd_minus_frozen_self,boxed_opd,boxed_frozen_self,boxed_opd_minus_frozen_self,think_tag_opd,think_tag_frozen_self,think_tag_opd_minus_frozen_self
20,math500,0,"\left( 3, \frac{\pi}{2} \right)",1444,183,1261.0,False,True,-1.0,True,False,1.0,0.2560721721027065,0.01666666666666672,0.23940550543603978,0.4490644490644491,0.8791208791208791,-0.43005643005643,True,True,0.0,False,False,0.0
20,math500,1,p - q,485,465,20.0,True,True,0.0,False,False,0.0,0.23443983402489632,0.2987012987012987,-0.06426146467640237,0.5041322314049587,0.45905172413793105,0.045080507267027614,True,False,1.0,False,False,0.0
20,math500,2,\frac{14}{3},2134,163,1971.0,False,True,-1.0,True,False,1.0,0.49366494603472544,0.05625000000000002,0.4374149460347254,0.3075480543834974,0.7962962962962963,-0.48874824191279886,True,True,0.0,False,False,0.0
20,math500,3,9,448,2495,-2047.0,True,False,1.0,False,True,-1.0,0.051685393258426915,0.8840288924558588,-0.8323434991974319,0.7740492170022372,0.08941459502806737,0.6846346219741698,False,True,-1.0,False,False,0.0
20,math500,4,\text{Evelyn},2526,444,2082.0,False,True,-1.0,True,False,1.0,0.5747126436781609,0.22675736961451243,0.34795527406364846,0.22336633663366337,0.5169300225733634,-0.29356368593970006,True,False,1.0,False,False,0.0
20,math500,5,42,529,2280,-1751.0,True,False,1.0,False,True,-1.0,0.38783269961977185,0.6126482213438735,-0.22481552172410169,0.38257575757575757,0.21456779289161912,0.16800796468413845,False,True,-1.0,False,False,0.0
20,math500,6,27,675,148,527.0,True,True,0.0,False,False,0.0,0.22916666666666663,0.21379310344827585,0.015373563218390784,0.46439169139465875,0.6054421768707483,-0.14105048547608956,True,False,1.0,False,False,0.0
20,math500,7,90^\circ,247,1821,-1574.0,True,False,1.0,False,True,-1.0,0.020491803278688492,0.6226622662266227,-0.6021704629479342,0.8170731707317073,0.22252747252747251,0.5945456982042348,True,True,0.0,False,False,0.0
20,math500,8,3\sqrt{13},467,46,421.0,True,True,0.0,False,False,0.0,0.032327586206896575,0.0,0.032327586206896575,0.7446351931330472,0.8666666666666667,-0.12203147353361954,True,True,0.0,False,False,0.0
20,math500,9,4,191,2696,-2505.0,True,False,1.0,False,True,-1.0,0.43617021276595747,0.6524322317118455,-0.21626201894588803,0.4631578947368421,0.20964749536178107,0.25351039937506104,True,True,0.0,False,False,0.0
20,math500,10,2220,1270,84,1186.0,False,True,-1.0,True,False,1.0,0.7458563535911602,0.18518518518518523,0.560671168405975,0.18360914105594955,0.6626506024096386,-0.479041461353689,True,False,1.0,False,False,0.0
20,math500,11,\frac{3}{56},1801,334,1467.0,False,True,-1.0,True,False,1.0,0.3170189098998888,0.2598187311178247,0.05720017878206407,0.41833333333333333,0.5375375375375375,-0.11920420420420419,True,False,1.0,False,False,0.0
20,math500,12,284,986,287,699.0,True,True,0.0,False,False,0.0,0.3682604272634792,0.4295774647887324,-0.06131703752525319,0.39593908629441626,0.38461538461538464,0.011323701679031628,False,False,0.0,False,False,0.0
20,math500,13,5,24,37,-13.0,True,True,0.0,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,True,-1.0,False,False,0.0
20,math500,14,\sqrt{51},1927,1701,226.0,False,False,0.0,True,True,0.0,0.7889812889812889,0.5565371024734982,0.23244418650779075,0.12357217030114226,0.26176470588235295,-0.1381925355812107,False,True,-1.0,False,False,0.0
20,math500,15,6 - 5i,927,1676,-749.0,True,False,1.0,False,True,-1.0,0.3127705627705628,0.4590555887627017,-0.14628502599213888,0.4200863930885529,0.31582089552238807,0.10426549756616482,True,True,0.0,False,False,0.0
20,math500,16,-50,2059,166,1893.0,False,True,-1.0,True,False,1.0,0.6157587548638133,0.09202453987730064,0.5237342149865126,0.31243926141885325,0.7454545454545455,-0.4330152840356922,True,True,0.0,False,False,0.0
20,math500,17,\pi,2136,1521,615.0,False,True,-1.0,True,False,1.0,0.7824660103141116,0.303030303030303,0.4794357072838086,0.13723653395784544,0.40131578947368424,-0.2640792555158388,True,True,0.0,False,False,0.0
20,math500,18,28,1563,260,1303.0,False,True,-1.0,True,False,1.0,0.5826923076923076,0.15175097276264593,0.4309413349296617,0.24327784891165172,0.5405405405405406,-0.29726269162888885,True,False,1.0,False,False,0.0
20,math500,19,3,302,327,-25.0,True,True,0.0,False,False,0.0,0.030100334448160515,0.11728395061728392,-0.0871836161691234,0.7973421926910299,0.6717791411042945,0.12556305158673542,True,True,0.0,False,False,0.0
20,math500,20,6+9i,259,1532,-1273.0,True,False,1.0,False,True,-1.0,0.0625,0.4244604316546763,-0.3619604316546763,0.7209302325581395,0.32135858915741344,0.39957164340072604,True,True,0.0,False,False,0.0
20,math500,21,13535,1564,57,1507.0,False,True,-1.0,True,False,1.0,0.3830877642536835,0.12962962962962965,0.25345813462405387,0.2751119641714651,0.6428571428571429,-0.3677451786856778,True,False,1.0,False,False,0.0
20,math500,22,5,1041,5,1036.0,True,True,0.0,False,False,0.0,0.3140655105973025,0.0,0.3140655105973025,0.4519230769230769,1.0,-0.5480769230769231,False,True,-1.0,False,False,0.0
20,math500,23,x=5,200,1624,-1424.0,True,False,1.0,False,True,-1.0,0.040609137055837574,0.283775447254781,-0.24316631019894341,0.8442211055276382,0.4269870609981516,0.4172340445294866,True,True,0.0,False,False,0.0
20,math500,24,10,350,580,-230.0,True,False,1.0,False,True,-1.0,0.05475504322766567,0.6377816291161178,-0.5830265858884521,0.7564469914040115,0.25734024179620035,0.49910674960781115,True,False,1.0,False,False,0.0
20,math500,25,"1,-2",1381,258,1123.0,False,True,-1.0,True,False,1.0,0.010885341074020283,0.015686274509803977,-0.004800933435783694,0.9521739130434783,0.6575875486381323,0.294586364405346,False,False,0.0,False,False,0.0
20,math500,26,144,2153,241,1912.0,False,True,-1.0,True,False,1.0,0.6353488372093024,0.32773109243697474,0.3076177447723276,0.22351301115241637,0.5208333333333334,-0.297320322180917,True,True,0.0,False,False,0.0
20,math500,27,78,385,527,-142.0,True,True,0.0,False,False,0.0,0.10471204188481675,0.10687022900763354,-0.0021581871228167904,0.7109375,0.655893536121673,0.055043963878326996,True,False,1.0,False,False,0.0
20,math500,28,-2 + 7i,866,201,665.0,False,True,-1.0,True,False,1.0,0.23059096176129779,0.14646464646464652,0.08412631529665127,0.4323699421965318,0.635,-0.2026300578034682,True,False,1.0,False,False,0.0
20,math500,29,225,1552,3070,-1518.0,True,False,1.0,False,True,-1.0,0.4067140090380891,0.5552657319856538,-0.1485517229475647,0.3359123146357189,0.24405343760182469,0.09185887703389423,True,False,1.0,False,False,0.0
20,math500,30,52_8,329,2138,-1809.0,True,False,1.0,False,True,-1.0,0.06748466257668717,0.6131147540983606,-0.5456300915216734,0.6646341463414634,0.19934487599438466,0.4652892703470788,True,True,0.0,False,False,0.0
20,math500,31,11\sqrt2,1282,114,1168.0,False,True,-1.0,True,False,1.0,0.005473025801407294,0.10810810810810811,-0.10263508230670082,0.7002341920374707,0.7876106194690266,-0.08737642743155583,False,True,-1.0,False,False,0.0
20,math500,32,720,1070,202,868.0,False,True,-1.0,True,False,1.0,0.232427366447985,0.27638190954773867,-0.04395454309975366,0.21234798877455566,0.527363184079602,-0.3150151953050464,False,True,-1.0,False,False,0.0
20,math500,33,\frac{243}{625},242,150,92.0,True,True,0.0,False,False,0.0,0.01673640167364021,0.03401360544217691,-0.017277203768536697,0.8257261410788381,0.785234899328859,0.04049124174997909,True,False,1.0,False,False,0.0
20,math500,34,-125,180,1277,-1097.0,True,False,1.0,False,True,-1.0,0.02824858757062143,0.48822605965463106,-0.45997747208400963,0.8044692737430168,0.29702194357366773,0.5074473301693491,False,True,-1.0,False,False,0.0
