metric,model,checkpoint,probe_name,layer,available_arms,deepest_arm,opd_deepest,nearest_margin
stable_rank,llama,20,E_general,14,"offkd,opd,seqkd,sft",opd,True,0.2648602891264129
stable_rank,llama,20,E_if,14,"offkd,opd,seqkd,sft",opd,True,0.27693073864188467
stable_rank,llama,20,E_math,14,"offkd,opd,seqkd,sft",opd,True,0.21097977783731658
stable_rank,llama,20,E_ood,14,"offkd,opd,seqkd,sft",opd,True,0.23751828716485912
stable_rank,llama,40,E_general,14,"offkd,opd,seqkd,sft",opd,True,0.24558193344800028
stable_rank,llama,40,E_if,14,"offkd,opd,seqkd,sft",opd,True,0.31459269603567264
stable_rank,llama,40,E_math,14,"offkd,opd,seqkd,sft",opd,True,0.19939945325284536
stable_rank,llama,40,E_ood,14,"offkd,opd,seqkd,sft",opd,True,0.21569511473302216
stable_rank,llama,80,E_general,14,"offkd,opd,seqkd,sft",opd,True,0.24339392317356978
stable_rank,llama,80,E_if,14,"offkd,opd,seqkd,sft",opd,True,0.3422200578824228
stable_rank,llama,80,E_math,14,"offkd,opd,seqkd,sft",opd,True,0.2021391333239424
stable_rank,llama,80,E_ood,14,"offkd,opd,seqkd,sft",opd,True,0.21570502071630537
stable_rank,qwen,20,E_general,18,opd,,,
stable_rank,qwen,20,E_if,18,opd,,,
stable_rank,qwen,20,E_math,18,opd,,,
stable_rank,qwen,20,E_ood,18,opd,,,
stable_rank,qwen,40,E_general,18,opd,,,
stable_rank,qwen,40,E_if,18,opd,,,
stable_rank,qwen,40,E_math,18,opd,,,
stable_rank,qwen,40,E_ood,18,opd,,,
stable_rank,qwen,80,E_general,18,opd,,,
stable_rank,qwen,80,E_if,18,opd,,,
stable_rank,qwen,80,E_math,18,opd,,,
stable_rank,qwen,80,E_ood,18,opd,,,
entropy_effective_rank,llama,20,E_general,14,"offkd,opd,seqkd,sft",opd,True,2.1363674299474074
entropy_effective_rank,llama,20,E_if,14,"offkd,opd,seqkd,sft",opd,True,1.7456140757456011
entropy_effective_rank,llama,20,E_math,14,"offkd,opd,seqkd,sft",opd,True,1.6035573285966729
entropy_effective_rank,llama,20,E_ood,14,"offkd,opd,seqkd,sft",opd,True,1.8175172323124922
entropy_effective_rank,llama,40,E_general,14,"offkd,opd,seqkd,sft",opd,True,1.8541686509253532
entropy_effective_rank,llama,40,E_if,14,"offkd,opd,seqkd,sft",opd,True,1.6627265617483846
entropy_effective_rank,llama,40,E_math,14,"offkd,opd,seqkd,sft",opd,True,1.5260605692899851
entropy_effective_rank,llama,40,E_ood,14,"offkd,opd,seqkd,sft",opd,True,1.5916930129562399
entropy_effective_rank,llama,80,E_general,14,"offkd,opd,seqkd,sft",opd,True,1.6561290198619933
entropy_effective_rank,llama,80,E_if,14,"offkd,opd,seqkd,sft",opd,True,1.594529535245471
entropy_effective_rank,llama,80,E_math,14,"offkd,opd,seqkd,sft",opd,True,1.5924470626531468
entropy_effective_rank,llama,80,E_ood,14,"offkd,opd,seqkd,sft",opd,True,1.6318533630269623
entropy_effective_rank,qwen,20,E_general,18,opd,,,
entropy_effective_rank,qwen,20,E_if,18,opd,,,
entropy_effective_rank,qwen,20,E_math,18,opd,,,
entropy_effective_rank,qwen,20,E_ood,18,opd,,,
entropy_effective_rank,qwen,40,E_general,18,opd,,,
entropy_effective_rank,qwen,40,E_if,18,opd,,,
entropy_effective_rank,qwen,40,E_math,18,opd,,,
entropy_effective_rank,qwen,40,E_ood,18,opd,,,
entropy_effective_rank,qwen,80,E_general,18,opd,,,
entropy_effective_rank,qwen,80,E_if,18,opd,,,
entropy_effective_rank,qwen,80,E_math,18,opd,,,
entropy_effective_rank,qwen,80,E_ood,18,opd,,,
